imdb,year,title,test,budget,domestic_gross,foreign_gross
tt1711425,2013,21 & Over,notalk,13000000,25682380,16513386
tt1343727,2012,Dredd 3D,ok-disagree,45658735,13611086,27856171
tt2024544,2013,12 Years a Slave,notalk-disagree,20000000,53107035,105500000
tt1272878,2013,2 Guns,notalk,61000000,75612460,56880555
tt0453562,2013,42,men,40000000,95020213,0
tt1335975,2013,47 Ronin,men,225000000,38362475,107441367
tt1606378,2013,A Good Day to Die Hard,notalk,92000000,67349198,236900000
tt2194499,2013,About Time,ok-disagree,12000000,15323921,72000825
tt1814621,2013,Admission,ok,13000000,18007317,0
tt1815862,2013,After Earth,notalk,130000000,60522097,183851101
tt1800241,2013,American Hustle,ok-disagree,40000000,148430908,101054001
tt1322269,2013,August: Osage County,ok,25000000,37304874,13000000
tt1559547,2013,Beautiful Creatures,ok,50000000,19452138,36488533
tt2334873,2013,Blue Jasmine,ok-disagree,18000000,33345833,35101998
tt1535109,2013,Captain Phillips,notalk,55000000,107136417,111607153
tt1939659,2013,Carrie,ok,30000000,35266619,49735040
tt1985966,2013,Cloudy with a Chance of Meatballs 2,nowomen-disagree,78000000,119640264,152085184
tt1690953,2013,Despicable Me 2,ok,76000000,368065385,602700620
tt2229499,2013,Don Jon,dubious-disagree,5500000,24477704,1900000
tt1535108,2013,Elysium,ok-disagree,120000000,93050117,193141974
tt1731141,2013,Ender's Game,men,110000000,61737191,28000000
tt0848537,2013,Epic,ok-disagree,100000000,107518682,160900000
tt0765446,2013,Escape from Planet Earth,ok,40000000,57012977,9441834
tt1211956,2013,Escape Plan,men,70000000,25213103,78600000
tt1288558,2013,Evil Dead,ok-disagree,17000000,54239856,43162193
tt1905041,2013,Fast and Furious 6,ok-disagree,160000000,238679850,549448272
tt2294629,2013,Frozen,ok,150000000,393050114,611500000
tt1583421,2013,G.I. Joe: Retaliation,ok-disagree,140000000,122523060,249400000
tt1321870,2013,Gangster Squad,notalk,60000000,46000903,58100000
tt2425486,2013,Gloria,ok,30000000,4167493,800000
tt1454468,2013,Gravity,nowomen-disagree,110000000,271814796,436900000
tt2191701,2013,Grown Ups 2,men-disagree,80000000,133668525,113355283
tt1428538,2013,Hansel & Gretel: Witch Hunters,ok,50000000,55703475,170000000
tt1798709,2013,Her,men-disagree,23000000,25000178,8029535
tt2024432,2013,Identity Thief,men-disagree,35000000,134506920,41762801
tt2226417,2013,Insidious: Chapter 2,men,5000000,83586447,78324775
tt1300854,2013,Iron Man 3,dubious-disagree,200000000,408992272,803700000
tt1351685,2013,Jack the Giant Slayer,nowomen-disagree,195000000,65187603,132200000
tt1650554,2013,Kick-Ass 2,ok,28000000,28795985,32043212
tt1204975,2013,Last Vegas,notalk,28000000,63914167,49000000
tt1327773,2013,Lee Daniels' The Butler,ok,30000000,116632095,34881334
tt2002718,2013,Machete Kills,ok,2000000,8008161,1400000
tt2023587,2013,Mama,ok,15000000,71628180,76413073
tt0770828,2013,Man of Steel,ok-disagree,225000000,291045518,396954000
tt1821549,2013,Nebraska,ok-disagree,12000000,17482517,0
tt1670345,2013,Now You See Me,notalk-disagree,75000000,117723989,234000000
tt1483013,2013,Oblivion,men-disagree,120000000,89107235,198430748
tt2302755,2013,Olympus Has Fallen,notalk,70000000,98927592,51634572
tt1623205,2013,Oz the Great and Powerful,ok-disagree,200000000,234770996,254800000
tt1663662,2013,Pacific Rim,notalk-disagree,190000000,101802906,309200000
tt1980209,2013,Pain & Gain,notalk,26000000,49875291,31400000
tt1904996,2013,Parker,ok,35000000,17616641,28730010
tt1699755,2013,Peeples,dubious,15000000,9177065,0
tt1854564,2013,Percy Jackson: Sea of Monsters,ok,90000000,68559554,132300000
tt1392214,2013,Prisoners,ok,46000000,61002302,52400000
tt0790736,2013,R.I.P.D.,notalk,130000000,33618855,45401092
tt1821694,2013,Red 2,ok,84000000,53262560,83900000
tt1411250,2013,Riddick,notalk-disagree,38000000,42025135,50400000
tt2364841,2013,Runner Runner,nowomen,30000000,19316646,43300000
tt1979320,2013,Rush,notalk,38000000,26947624,16100000
tt1702439,2013,Safe Haven,ok,28000000,71399120,22544503
tt2140373,2013,Saving Mr. Banks,ok,35000000,82834332,17900000
tt2053463,2013,Side Effects,ok,30000000,32172757,28115606
tt1408101,2013,Star Trek Into Darkness,notalk-disagree,190000000,228778661,238200000
tt1572315,2013,Texas Chainsaw 3D,ok-disagree,20000000,34341945,4751372
tt1931435,2013,The Big Wedding,ok,32500000,21819348,13951373
