uri,author_handle,author_name,text,created_at,indexed_at,reply_count,repost_count,like_count,quote_count,bookmark_count,in_reply_to,in_reply_root,quotes
at://did:plc:bmrap76m3sje4l2ydpnlns6b/app.bsky.feed.post/3ldgy6y2ay22k,justicaglobal.bsky.social,Justiça Global,"Confira alguns dos números no carrossel e a pesquisa completa no sites justicaglobal.org.br.

#ViolênciaPolítica

#Eleições2024",2024-12-16T18:42:03Z,2024-12-16T18:42:22Z,0,0,2,0,0,at://did:plc:bmrap76m3sje4l2ydpnlns6b/app.bsky.feed.post/3ldgy6ux44s2k,at://did:plc:bmrap76m3sje4l2ydpnlns6b/app.bsky.feed.post/3ldgy6qalps2k,NA
at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3huu2dkc2n,sorinmercio.bsky.social,Mercio Querido,"URUBU FRIDAY!!!

#RESERVAINK + #URUBUVERSO

#fla #mengo #flamengo #crf #maisquerido #vamosflamengo #futebol #futebolbrasileiro #torcidas #torcidadoflamengo #naçãorubronegra #filipeluis #gabigol #dunshee #bap #eleições2024

reserva.ink/urubuverso/c...",2024-11-29T11:25:43Z,2024-11-29T11:25:47Z,0,0,0,0,0,at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3hsrklns2n,at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3hsrklns2n,NA
at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3hqpf5ts2n,sorinmercio.bsky.social,Mercio Querido,"URUBU FRIDAY!!!

#RESERVAINK + #URUBUVERSO

#fla #mengo #flamengo #crf #maisquerido #vamosflamengo #futebol #futebolbrasileiro #torcidas #torcidadoflamengo #naçãorubronegra #filipeluis #gabigol #dunshee #bap #eleições2024

reserva.ink/urubuverso/c...",2024-11-29T11:23:24Z,2024-11-29T11:23:29Z,0,0,0,0,0,at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3hoobacc2n,at://did:plc:dquljpo3plckmqmsu2rglev2/app.bsky.feed.post/3lc3hoobacc2n,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3lbcbrzrs3s2h,mbf.net.br,Mateus BF,📌 #eleições2024,2024-11-19T11:00:12Z,2024-11-19T11:00:14Z,0,0,0,0,0,at://did:plc:2ltkdzviaz3swp3llbdakfj3/app.bsky.feed.post/3lbarv4bsvc2w,at://did:plc:2ltkdzviaz3swp3llbdakfj3/app.bsky.feed.post/3lbarv4bsvc2w,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3lapbbugmap2m,mbf.net.br,Mateus BF,📌 #eleições2024,2024-11-11T21:30:33Z,2024-11-11T21:30:35Z,0,0,1,0,0,at://did:plc:euceh47olrgwb4s2ohex5fxs/app.bsky.feed.post/3lap4dlo46u2z,at://did:plc:euceh47olrgwb4s2ohex5fxs/app.bsky.feed.post/3lap4dlo46u2z,NA
at://did:plc:cgayyue65b4x2sadtpchsfnm/app.bsky.feed.post/3lafrf55pkj24,gabrielittoa.bsky.social,Gabriel Albuquerque🏳️‍🌈🇧🇷,"se emponderar e libertar c um, ""eu como qd e qm quiser"". Depois reclamam da toxicidade, violência, mas são machistas tb viu #Eleições2024",2024-11-08T02:52:08Z,2024-11-08T02:52:07Z,0,0,1,0,0,at://did:plc:cgayyue65b4x2sadtpchsfnm/app.bsky.feed.post/3lafregj37h25,at://did:plc:cgayyue65b4x2sadtpchsfnm/app.bsky.feed.post/3lafregj37h25,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7xuhvnlej2i,mbf.net.br,Mateus BF,"[ #eleições2024: BALANÇO FINAL E A CONSOLIDAÇÃO DA ONDA]

Se democracia forte não pode prescindir de alternância, e se os partidos buscam hegemonia, como fecha essa conta?

No último texto da série Voto a Voto, o diagnóstico é de estabilidade
Mas o prognóstico é de instabilidade🫨
Como pode?

LEIÃO👇",2024-11-02T14:10:04Z,2024-11-02T14:10:05Z,0,0,0,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l6uq3okmz725,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l6uq3okmz725,at://did:plc:2y4s27tvlr4evc3wrsefnl2o/app.bsky.feed.post/3l7w6nflb4p2f
at://did:plc:ox4irodwjcp3xyc6wbxxshig/app.bsky.feed.post/3l7tk4zkix42w,votelgbt.org,VoteLGBT,"Marque aqui as lideranças LGBT+ eleitas da sua cidade?

Esse é só o começo! 🚀

Vídeo por: @votelgbt 

#Eleições2024 #VoteLGBT #Representatividade #LiderançasLGBT+ #Política",2024-10-31T20:54:23Z,2024-10-31T20:54:23Z,0,0,0,0,0,at://did:plc:ox4irodwjcp3xyc6wbxxshig/app.bsky.feed.post/3l7tk4gck3l2c,at://did:plc:ox4irodwjcp3xyc6wbxxshig/app.bsky.feed.post/3l7tk324rpm2o,NA
at://did:plc:b6xtxubgh56ze6bur4n57nw4/app.bsky.feed.post/3l7nz2ylfp32y,jumacosta.bsky.social,Juma Costa,m.youtube.com/watch?v=oYfO...,2024-10-29T16:05:49Z,2024-10-29T16:05:43Z,0,0,0,0,0,at://did:plc:izx6qs5a2frrykxzttfh5tgf/app.bsky.feed.post/3l7npxi547l2z,at://did:plc:izx6qs5a2frrykxzttfh5tgf/app.bsky.feed.post/3l7npxi547l2z,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7meki7ar72q,mbf.net.br,Mateus BF,"[ #eleições2024: E O PT, HEIN?]

Não gostou da análise do Padilha👆?

Gleisi Hoffmann é sua justiceira👇
🗣️""Pagamos o preço de estar num governo de ampla coalizão. (...) Padilha devia focar nas articulações políticas do governo, de sua responsabilidade, que ajudaram a chegar a esses resultados""

Habla!",2024-10-29T00:25:53Z,2024-10-29T00:25:53Z,0,0,4,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7m62qhpbw2z,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7l3iphj572a,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7m62qhpbw2z,mbf.net.br,Mateus BF,"[ #eleições2024: E O PT, HEIN?]

@padilhando.bsky.social, secretário de Relações Institucionais do governo, faz balanço do desempenho do PT nas eleições municipais
🗣️ Pra ele, apesar de ter melhorado em relação a 2020, o PT segue na ""zona de rebaixamento""

Ouça, com sinfonia de cigarras ao fundo😅👇",2024-10-28T22:29:42Z,2024-10-28T22:29:42Z,2,0,2,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7lmtztxvs2b,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7l3iphj572a,NA
at://did:plc:2sa4diyls6vh4axxxscmzb4a/app.bsky.feed.post/3l7m2bhmb5f27,ofernandolobo.bsky.social,Fernando Lobo 1️⃣3️⃣,"📌 Goiânia - 2º turno
Sandro Mabel (União Brasil): 353.518 votos
Abstenção: 352.393
Nulos: 27.080
Em branco: 14.229
Total de “não voto”: 393.702

#GloboNews
#Eleicoes2024",2024-10-28T21:21:54Z,2024-10-28T21:21:54Z,0,0,0,0,0,at://did:plc:2sa4diyls6vh4axxxscmzb4a/app.bsky.feed.post/3l7m27x5u7v2y,at://did:plc:2sa4diyls6vh4axxxscmzb4a/app.bsky.feed.post/3l7m23jii6k2m,NA
at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7lmtztxvs2b,mbf.net.br,Mateus BF,"[ #eleições2024: E O PT, HEIN?]

UF 🟰 # Prefeituras PT / # Municípios

AC🟰1/22
AL🟰1/102
AP🟰0/16
AM🟰2/62
BA🟰49/417
CE🟰46/184
ES🟰0/78
GO🟰3/246
MA🟰2/217
MT🟰0/142
MS🟰0/79
MG🟰34/853
PA🟰2/144
PB🟰1/223
PR🟰3/399
PE🟰7/184
PI🟰50/224
RJ🟰3/92
RN🟰7/167
RS🟰21/497
RO🟰0/52
RR🟰0/52
SE🟰7/295
SP🟰4/645
SE🟰6/75
TO🟰3/139",2024-10-28T17:21:44Z,2024-10-28T17:21:44Z,1,0,3,0,0,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7l3iphj572a,at://did:plc:moxr5wj3u5rwf25vgcemftvp/app.bsky.feed.post/3l7l3iphj572a,NA
