gm,municipality,party,votes,count
GM1680,Aa en Hunze,PVV,19.402149574563367,3466
GM1680,Aa en Hunze,PvdA/GL,17.95230631437528,3207
GM1680,Aa en Hunze,VVD,16.222570532915363,2898
GM1680,Aa en Hunze,NSC,15.875503806538289,2836
GM1680,Aa en Hunze,BBB,9.57792207792208,1711
GM1680,Aa en Hunze,D66,5.625839677563816,1005
GM1680,Aa en Hunze,SP,3.4930586654724585,624
GM1680,Aa en Hunze,PvdD,2.507836990595611,448
GM1680,Aa en Hunze,CDA,2.4854455888938647,444
GM1680,Aa en Hunze,FvD,1.7577250335871024,314
GM1680,Aa en Hunze,ChristenUnie,1.371473354231975,245
GM1680,Aa en Hunze,Volt,1.371473354231975,245
GM1680,Aa en Hunze,JA21,0.6269592476489028,112
GM1680,Aa en Hunze,BVNL,0.4758172861621138,85
GM1680,Aa en Hunze,50PLUS,0.33587102552619796,60
GM1680,Aa en Hunze,SGP,0.2407075682937752,43
GM1680,Aa en Hunze,DENK,0.23510971786833856,42
GM1680,Aa en Hunze,BIJ1,0.11755485893416928,21
GM1680,Aa en Hunze,Piratenpartij - De Groenen,0.08956560680698611,16
GM1680,Aa en Hunze,Samen voor Nederland,0.08396775638154949,15
GM1680,Aa en Hunze,Splinter,0.07836990595611285,14
GM1680,Aa en Hunze,LEF - Voor de Nieuwe Generatie,0.05038065382892969,9
GM1680,Aa en Hunze,LP (Libertaire Partij),0.02239140170174652,4
GM0358,Aalsmeer,VVD,25.070379280339868,4898
GM0358,Aalsmeer,PVV,25.060142294108616,4896
GM0358,Aalsmeer,NSC,12.340686901776117,2411
GM0358,Aalsmeer,PvdA/GL,9.551108153759532,1866
GM0358,Aalsmeer,D66,6.689870502124175,1307
GM0358,Aalsmeer,CDA,3.6955520294825206,722
GM0358,Aalsmeer,BBB,3.383323949429288,661
GM0358,Aalsmeer,ChristenUnie,2.2367814915288937,437
GM0358,Aalsmeer,FvD,2.067871218713211,404
GM0358,Aalsmeer,SP,1.9910938219788092,389
GM0358,Aalsmeer,PvdD,1.6481547832318164,322
GM0358,Aalsmeer,DENK,1.3973486205661052,273
GM0358,Aalsmeer,Volt,1.3308082100629577,260
GM0358,Aalsmeer,JA21,0.9520397195065772,186
GM0358,Aalsmeer,SGP,0.6449301325689717,126
GM0358,Aalsmeer,50PLUS,0.5886267082970773,115
GM0358,Aalsmeer,BVNL,0.5783897220658238,113
GM0358,Aalsmeer,BIJ1,0.2610431488969647,51
GM0358,Aalsmeer,Splinter,0.19450273839381685,38
GM0358,Aalsmeer,PartijvdSport,0.07165890361877462,14
GM0358,Aalsmeer,Piratenpartij - De Groenen,0.07165890361877462,14
GM0358,Aalsmeer,Nederland met een PLAN,0.06142191738752112,12
GM0358,Aalsmeer,LEF - Voor de Nieuwe Generatie,0.05118493115626759,10
GM0358,Aalsmeer,LP (Libertaire Partij),0.03071095869376056,6
GM0358,Aalsmeer,Samen voor Nederland,0.03071095869376056,6
GM0197,Aalten,PVV,19.796010368533754,3513
GM0197,Aalten,NSC,18.51684886735039,3286
GM0197,Aalten,BBB,15.575340921897892,2764
GM0197,Aalten,VVD,11.574439310267104,2054
GM0197,Aalten,PvdA/GL,10.430519553702243,1851
GM0197,Aalten,CDA,7.150907246703482,1269
GM0197,Aalten,D66,4.040347120477854,717
GM0197,Aalten,ChristenUnie,3.076749690071002,546
GM0197,Aalten,SP,2.744280401217176,487
GM0197,Aalten,FvD,1.645441226191818,292
GM0197,Aalten,PvdD,1.200270483489237,213
GM0197,Aalten,Volt,0.7663698861715317,136
GM0197,Aalten,JA21,0.6874788684774034,122
GM0197,Aalten,SGP,0.6423982869379015,114
GM0197,Aalten,DENK,0.6198579961681505,110
GM0197,Aalten,BVNL,0.5691423419362109,101
GM0197,Aalten,50PLUS,0.3493745069311394,62
GM0197,Aalten,Samen voor Nederland,0.23667305308238476,42
GM0197,Aalten,BIJ1,0.10143130846387918,18
GM0197,Aalten,Splinter,0.10143130846387918,18
GM0197,Aalten,Piratenpartij - De Groenen,0.06762087230925279,12
GM0197,Aalten,LEF - Voor de Nieuwe Generatie,0.06198579961681506,11
GM0197,Aalten,Nederland met een PLAN,0.03944550884706413,7
GM0197,Aalten,LP (Libertaire Partij),0.00563507269243773,1
GM0059,Achtkarspelen,PVV,34.47947583580669,6157
GM0059,Achtkarspelen,NSC,16.822534580276642,3004
GM0059,Achtkarspelen,CDA,8.775270202161616,1567
GM0059,Achtkarspelen,PvdA/GL,7.694461555692446,1374
GM0059,Achtkarspelen,BBB,7.487259898079185,1337
GM0059,Achtkarspelen,VVD,6.860054880439044,1225
GM0059,Achtkarspelen,ChristenUnie,5.157641261130089,921
GM0059,Achtkarspelen,FvD,3.2144257154057234,574
GM0059,Achtkarspelen,SP,2.2008176065408525,393
GM0059,Achtkarspelen,SGP,2.0720165761326093,370
GM0059,Achtkarspelen,D66,1.9096152769222152,341
GM0059,Achtkarspelen,PvdD,0.9856078848630788,176
GM0059,Achtkarspelen,BVNL,0.6776054208433667,121
GM0059,Achtkarspelen,JA21,0.5656045248361986,101
GM0059,Achtkarspelen,Volt,0.3808030464243714,68
GM0059,Achtkarspelen,50PLUS,0.2800022400179202,50
GM0059,Achtkarspelen,Samen voor Nederland,0.08960071680573445,16
GM0059,Achtkarspelen,DENK,0.07840062720501764,14
GM0059,Achtkarspelen,BIJ1,0.05600044800358403,10
GM0059,Achtkarspelen,LP (Libertaire Partij),0.05040040320322563,9
GM0059,Achtkarspelen,LEF - Voor de Nieuwe Generatie,0.03920031360250882,7
GM0059,Achtkarspelen,Piratenpartij - De Groenen,0.03920031360250882,7
GM0059,Achtkarspelen,Splinter,0.03920031360250882,7
GM0059,Achtkarspelen,Nederland met een PLAN,0.02240017920143361,4
GM0059,Achtkarspelen,Politieke Partij voor Basisinkomen,0.02240017920143361,4
GM0482,Alblasserdam,PVV,24.987633965375103,3031
GM0482,Alblasserdam,SGP,16.52926628194559,2005
GM0482,Alblasserdam,NSC,11.788953009068424,1430
GM0482,Alblasserdam,VVD,11.47568013190437,1392
GM0482,Alblasserdam,PvdA/GL,8.854080791426217,1074
GM0482,Alblasserdam,ChristenUnie,5.746084089035449,697
GM0482,Alblasserdam,CDA,4.154987633965375,504
GM0482,Alblasserdam,D66,3.2316570486397365,392
GM0482,Alblasserdam,FvD,2.431986809563067,295
GM0482,Alblasserdam,BBB,2.3742786479802143,288
GM0482,Alblasserdam,SP,2.184666117065128,265
GM0482,Alblasserdam,DENK,2.1104699093157464,256
GM0482,Alblasserdam,PvdD,1.2613355317394888,153
GM0482,Alblasserdam,JA21,0.6760098928277,82
GM0482,Alblasserdam,Volt,0.5770816158285244,70
GM0482,Alblasserdam,BVNL,0.5441055234954657,66
GM0482,Alblasserdam,50PLUS,0.5358615004122012,65
