region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,1850,-0.073777415,-0.2820567,0.13450183
Southern Hemisphere,1850,-0.05126908,-0.28442237,0.18188424
World,1850,-0.06252327,-0.23564015,0.110593624
Northern Hemisphere,1851,0.098980926,-0.113960214,0.31192204
Southern Hemisphere,1851,0.10190218,-0.13428953,0.33809388
World,1851,0.10044155,-0.07380297,0.27468607
Northern Hemisphere,1852,0.15589593,-0.053691905,0.36548376
Southern Hemisphere,1852,0.12391793,-0.09428143,0.34211728
World,1852,0.13990693,-0.024693152,0.30450702
Northern Hemisphere,1853,0.14953533,-0.06640691,0.3654776
Southern Hemisphere,1853,0.05368683,-0.13828519,0.24565886
World,1853,0.101611085,-0.057469986,0.26069218
Northern Hemisphere,1854,0.20109834,0.0060110292,0.39618564
Southern Hemisphere,1854,-0.06034675,-0.22618476,0.10549129
World,1854,0.07037581,-0.06758561,0.20833722
Northern Hemisphere,1855,0.1444341,-0.05689944,0.34576765
Southern Hemisphere,1855,7.126966e-4,-0.16178128,0.16320664
World,1855,0.0725734,-0.062847964,0.20799474
Northern Hemisphere,1856,0.03352334,-0.17273279,0.23977944
Southern Hemisphere,1856,0.0382157,-0.12543124,0.20186265
World,1856,0.035869516,-0.10835164,0.18009067
Northern Hemisphere,1857,-0.07050068,-0.27881312,0.13781177
Southern Hemisphere,1857,-0.13329145,-0.30063543,0.034052555
World,1857,-0.10189607,-0.25372803,0.049935885
Northern Hemisphere,1858,0.005781611,-0.20603754,0.21760075
Southern Hemisphere,1858,-0.07137411,-0.23588642,0.09313824
World,1858,-0.032796256,-0.18350612,0.11791358
Northern Hemisphere,1859,0.109285735,-0.087557085,0.30612853
Southern Hemisphere,1859,0.034679357,-0.13115078,0.2005095
World,1859,0.07198254,-0.0702449,0.21421002
Northern Hemisphere,1860,-0.111092575,-0.31254852,0.090363376
Southern Hemisphere,1860,0.024753604,-0.14985353,0.19936073
World,1860,-0.04316949,-0.19423454,0.10789556
Northern Hemisphere,1861,-0.08937735,-0.3436792,0.16492452
Southern Hemisphere,1861,-0.11009612,-0.28813013,0.06793789
World,1861,-0.09973674,-0.2702844,0.07081095
Northern Hemisphere,1862,-0.35464358,-0.60478747,-0.104499705
Southern Hemisphere,1862,-0.027087506,-0.20726582,0.15309082
World,1862,-0.19086556,-0.3598417,-0.021889409
Northern Hemisphere,1863,0.0070293746,-0.27610385,0.29016265
Southern Hemisphere,1863,-0.04480269,-0.24184445,0.15223904
World,1863,-0.018886646,-0.2140082,0.17623492
Northern Hemisphere,1864,-0.13273264,-0.39719528,0.13173003
Southern Hemisphere,1864,-0.12762165,-0.33015528,0.07491196
World,1864,-0.13017713,-0.31695038,0.056596078
Northern Hemisphere,1865,-0.09758232,-0.39972246,0.2045578
Southern Hemisphere,1865,0.0410187,-0.15678921,0.23882662
World,1865,-0.028281799,-0.22767155,0.17110795
Northern Hemisphere,1866,-0.10075755,-0.37695986,0.17544478
Southern Hemisphere,1866,0.028353456,-0.18649003,0.24319695
World,1866,-0.036202036,-0.23232661,0.15992254
Northern Hemisphere,1867,-0.100052066,-0.3935631,0.19345896
Southern Hemisphere,1867,0.029142622,-0.17706421,0.23534949
World,1867,-0.035454713,-0.2373287,0.16641925
Northern Hemisphere,1868,0.0028171742,-0.26178837,0.26742277
Southern Hemisphere,1868,-0.0011389813,-0.1923925,0.19011453
World,1868,8.390935e-4,-0.182635,0.1843132
Northern Hemisphere,1869,0.12987994,-0.10100079,0.3607607
Southern Hemisphere,1869,-0.0390045,-0.21230158,0.13429262
World,1869,0.04543773,-0.11618047,0.20705594
Northern Hemisphere,1870,0.07078218,-0.14560153,0.28716582
Southern Hemisphere,1870,0.0015751162,-0.14820632,0.15135652
World,1870,0.036178626,-0.1110759,0.18343316
Northern Hemisphere,1871,-0.06779022,-0.29296684,0.1573864
Southern Hemisphere,1871,0.048863504,-0.097416334,0.19514333
World,1871,-0.0094633605,-0.15962742,0.1407007
Northern Hemisphere,1872,0.061329264,-0.1496823,0.2723408
Southern Hemisphere,1872,0.04768801,-0.10009881,0.19547482
World,1872,0.054508634,-0.081856035,0.19087328
Northern Hemisphere,1873,0.044439096,-0.15524693,0.24412513
Southern Hemisphere,1873,0.04112417,-0.09809124,0.18033956
World,1873,0.04278163,-0.08742987,0.17299314
Northern Hemisphere,1874,0.10543337,-0.0850623,0.295929
Southern Hemisphere,1874,-0.10833611,-0.25453475,0.037862543
World,1874,-0.001451364,-0.1335081,0.13060537
Northern Hemisphere,1875,-0.0830752,-0.27297503,0.10682466
Southern Hemisphere,1875,0.077499755,-0.07480436,0.22980389
World,1875,-0.00278773,-0.13947873,0.13390332
Northern Hemisphere,1876,-0.025279293,-0.21280731,0.16224873
Southern Hemisphere,1876,-0.06849372,-0.22151825,0.08453087
World,1876,-0.046886496,-0.18599264,0.09221966
Northern Hemisphere,1877,0.31682566,0.14005585,0.49359548
Southern Hemisphere,1877,0.24624538,0.095279686,0.39721107
World,1877,0.28153554,0.15366279,0.40940827
Northern Hemisphere,1878,0.49567378,0.32153663,0.6698109
Southern Hemisphere,1878,0.25287396,0.10481509,0.40093285
World,1878,0.37427387,0.25116238,0.49738535
Northern Hemisphere,1879,0.073232345,-0.108155526,0.25462022
Southern Hemisphere,1879,0.077216245,-0.06427487,0.21870737
World,1879,0.07522429,-0.056616865,0.20706546
Northern Hemisphere,1880,0.022857478,-0.15795411,0.2036691
Southern Hemisphere,1880,0.098715045,-0.035206523000000003,0.2326366
World,1880,0.060786255,-0.06173613,0.18330865
Northern Hemisphere,1881,0.13360901,-0.03354175,0.3007598
Southern Hemisphere,1881,0.1682881,0.01995391,0.31662232
World,1881,0.15094857,0.025931248,0.27596587
Northern Hemisphere,1882,0.053339053,-0.12261254,0.2292907
Southern Hemisphere,1882,0.1303649,-0.004112955,0.26484275
World,1882,0.09185199,-0.03333866,0.21704261
Northern Hemisphere,1883,-0.010645697,-0.1649145,0.1436231
Southern Hemisphere,1883,0.08345122,-0.047511455,0.2144139
World,1883,0.03640274,-0.07523092,0.14803644
Northern Hemisphere,1884,-0.21724619,-0.36177534,-0.07271702
Southern Hemisphere,1884,-0.0037323793,-0.13488463,0.12741984
World,1884,-0.11048927,-0.21954362,-0.0014349727
Northern Hemisphere,1885,-0.10243819,-0.24896897,0.044092584
Southern Hemisphere,1885,-0.08590677,-0.2183908,0.04657728
World,1885,-0.09417247,-0.2035198,0.015174845
Northern Hemisphere,1886,-0.039460164,-0.19085349,0.111933134
Southern Hemisphere,1886,-0.048967507,-0.17824939,0.080314375
World,1886,-0.044213854,-0.1488369,0.060409196
Northern Hemisphere,1887,-0.09168903,-0.24755467,0.06417658
Southern Hemisphere,1887,-0.15707436,-0.29025194,-0.02389678
World,1887,-0.12438171,-0.23906486,-0.009698501
Northern Hemisphere,1888,0.022743097,-0.14337195,0.18885812
Southern Hemisphere,1888,-0.039997753,-0.16987523,0.08987976
World,1888,-0.008627316,-0.12612046,0.108865805
Northern Hemisphere,1889,0.12757947,-0.03814764,0.2933066
Southern Hemisphere,1889,0.09953625,-0.041333165,0.24040566
World,1889,0.11355785,-0.010100653,0.23721638
Northern Hemisphere,1890,-0.12365354,-0.29449338,0.047186304
Southern Hemisphere,1890,-0.14892688,-0.2849677,-0.012886103
World,1890,-0.13629024,-0.2608838,-0.011696657
Northern Hemisphere,1891,-0.014844099,-0.18839712,0.15870889
Southern Hemisphere,1891,-0.052302953,-0.2056754,0.10106946
World,1891,-0.03357353,-0.17018043,0.10303334
Northern Hemisphere,1892,-0.18340851,-0.3572886,-0.009528348
Southern Hemisphere,1892,-0.101807795,-0.26063797,0.057022396
World,1892,-0.14260815,-0.28065705,-0.0045592394
Northern Hemisphere,1893,-0.1652586,-0.33629048,0.005773296
Southern Hemisphere,1893,-0.09671398,-0.2556043,0.06217635
World,1893,-0.13098629,-0.2659973,0.0040247235
Northern Hemisphere,1894,-0.046401333,-0.21408261,0.12127995
Southern Hemisphere,1894,-0.1831713,-0.34686968,-0.019472953
World,1894,-0.11478632,-0.258179,0.028606305
Northern Hemisphere,1895,-0.046637397,-0.21359177,0.120317034
Southern Hemisphere,1895,-0.10911574,-0.26774243,0.04951093
World,1895,-0.07787656,-0.21693264,0.061179467
Northern Hemisphere,1896,0.104054056,-0.054555427,0.26266354
Southern Hemisphere,1896,0.0666768,-0.089246236,0.22259982
World,1896,0.08536542,-0.04644259,0.21717344
Northern Hemisphere,1897,0.14531308,-0.015417645,0.30604383
Southern Hemisphere,1897,0.073305346,-0.092290215,0.23890091
World,1897,0.109309204,-0.02871119,0.24732961
Northern Hemisphere,1898,-0.02368171,-0.17781217,0.13044874
Southern Hemisphere,1898,-0.1964818,-0.3617181,-0.031245496
World,1898,-0.110081755,-0.24544589,0.025282392
Northern Hemisphere,1899,0.07397684,-0.080575295,0.22852898
Southern Hemisphere,1899,-0.034670945,-0.19152144,0.122179516
World,1899,0.019652942,-0.11072015,0.15002604
Northern Hemisphere,1900,0.20433767,0.051559675,0.3571157
Southern Hemisphere,1900,0.06326104,-0.10068872,0.2272108
World,1900,0.13379936,2.5049766e-4,0.2673482
Northern Hemisphere,1901,0.18384227,0.031925905,0.33575863
Southern Hemisphere,1901,-0.030228283,-0.1916829,0.1312263
World,1901,0.076807,-0.055596255,0.20921025
Northern Hemisphere,1902,-0.07051147,-0.22396208,0.08293911
Southern Hemisphere,1902,-0.076356225,-0.22908762,0.076375164
World,1902,-0.07343387,-0.2052205,0.058352776
Northern Hemisphere,1903,-0.12279058,-0.26415366,0.01857253
Southern Hemisphere,1903,-0.21971437,-0.37403992,-0.06538879
