year,state,state_po,candidate,party,votes,totalvotes
1976,Alabama,AL,"Bubar, Benjamin """"Ben""""",Other,6669,1182850
1976,Alabama,AL,"Carter, Jimmy",Democrat,659170,1182850
1976,Alabama,AL,"Ford, Gerald",Republican,504070,1182850
1976,Alabama,AL,"Hall, Gus",Other,1954,1182850
1976,Alabama,AL,"Macbride, Roger",Other,1481,1182850
1976,Alabama,AL,"Maddox, Lester",Other,9198,1182850
1976,Alabama,AL,NA,Other,308,1182850
1976,Alaska,AK,"Carter, Jimmy",Democrat,44058,123574
1976,Alaska,AK,"Ford, Gerald",Republican,71555,123574
1976,Alaska,AK,"Macbride, Roger",Other,6785,123574
1976,Alaska,AK,NA,Other,1176,123574
1976,Arizona,AZ,"Anderson, Thomas J.",Other,564,742719
1976,Arizona,AZ,"Camejo, Peter",Other,928,742719
1976,Arizona,AZ,"Carter, Jimmy",Democrat,295602,742719
1976,Arizona,AZ,"Ford, Gerald",Republican,418642,742719
1976,Arizona,AZ,"Macbride, Roger",Other,7647,742719
1976,Arizona,AZ,"Maddox, Lester",Other,85,742719
1976,Arizona,AZ,"Mccarthy, Eugene """"Gene""""",Other,19229,742719
1976,Arizona,AZ,NA,Other,22,742719
1976,Arkansas,AR,"Carter, Jimmy",Democrat,498604,767535
1976,Arkansas,AR,"Ford, Gerald",Republican,267903,767535
1976,Arkansas,AR,"Maddox, Lester",Other,389,767535
1976,Arkansas,AR,NA,Other,639,767535
1976,California,CA,"Camejo, Peter",Other,17259,7803770
1976,California,CA,"Carter, Jimmy",Democrat,3742284,7803770
1976,California,CA,"Ford, Gerald",Republican,3882244,7803770
1976,California,CA,"Hall, Gus",Other,12766,7803770
1976,California,CA,"Macbride, Roger",Other,56388,7803770
1976,California,CA,"Maddox, Lester",Other,51098,7803770
1976,California,CA,"Wright, Margaret",Other,41731,7803770
1976,Colorado,CO,"Bubar, Benjamin """"Ben""""",Other,2886,1081440
1976,Colorado,CO,"Camejo, Peter",Other,1122,1081440
1976,Colorado,CO,"Carter, Jimmy",Democrat,460801,1081440
1976,Colorado,CO,"Ford, Gerald",Republican,584278,1081440
1976,Colorado,CO,"Hall, Gus",Other,403,1081440
1976,Colorado,CO,"Larouche, Lyndon, Jr.",Other,565,1081440
1976,Colorado,CO,"Macbride, Roger",Other,5338,1081440
1976,Colorado,CO,"Mccarthy, Eugene """"Gene""""",Other,26047,1081440
1976,Connecticut,CT,"Carter, Jimmy",Democrat,647895,1386355
1976,Connecticut,CT,"Ford, Gerald",Republican,719261,1386355
1976,Connecticut,CT,"Larouche, Lyndon, Jr.",Other,1789,1386355
1976,Connecticut,CT,"Maddox, Lester",Other,7101,1386355
1976,Connecticut,CT,Scattering,Other,10309,1386355
1976,Delaware,DE,"Anderson, Thomas J.",Other,645,235642
1976,Delaware,DE,"Bubar, Benjamin """"Ben""""",Other,103,235642
1976,Delaware,DE,"Carter, Jimmy",Democrat,122461,235642
1976,Delaware,DE,"Ford, Gerald",Republican,109780,235642
1976,Delaware,DE,"Larouche, Lyndon, Jr.",Other,135,235642
1976,Delaware,DE,NA,Other,2432,235642
1976,Delaware,DE,NA,Other,86,235642
1976,District Of Columbia,DC,"Carter, Jimmy",Democrat,137818,168830
