state,population,white_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,college_pct
Alabama,4841164,66.18935032979672,39.22471950960554,15.33503099667766,45708.30718686663,-74.86024281450882
Arizona,6728577,56.1467305791403,40.79052673395876,15.904566448448188,51693.6619328277,-70.96035499238336
Arkansas,2968472,73.36771241231179,40.05629832452521,15.66418682743176,43195.05107543544,-77.28436518211296
California,38654206,38.384547337487675,41.43980864592071,12.875654463061522,65366.51227985384,-67.41805539932223
Colorado,5359295,68.9666644586648,40.46772943083,12.651664071487026,63927.37914725724,-60.354719681632155
Connecticut,3588570,68.67498752985172,37.41760645605353,15.466411411787977,72706.80833674695,-60.89888188246695
Delaware,934695,63.503602779516314,38.25686453869979,16.458095956435002,61520.36888931684,-68.43745424223314
District of Columbia,659009,35.7691624848826,41.5982179302559,11.4059140315231,72935,-43.6398140808688
Florida,19934451,55.584304779700226,35.81710878318143,19.050562265296392,49050.77709057551,-71.03102291794774
Georgia,10099320,54.124822265261415,41.62541636466614,12.340385293267264,52480.76617059366,-69.57780802198756
Hawaii,1413582,22.372667450491036,38.509969708159844,16.1004455348186,72569.94412704746,-67.59506800120829
Idaho,1635483,82.90492777974458,42.48598120555212,14.267711740201516,49496.78576237112,-72.72184469444032
Illinois,12851684,62.22418789630992,39.88119377974123,13.882204075356976,60574.04584994465,-65.96281386540744
Indiana,6589578,80.1975483103774,40.58246218498361,14.269851574713883,51379.54813540412,-74.15178117979166
Iowa,3106589,86.96354747924492,39.909849677572424,15.79806662548538,55214.43719590844,-71.39234189336891
Kansas,2898292,76.83984222431695,41.776294452042784,14.336961217158235,55357.44023273017,-67.31383413657369
Kentucky,4411989,85.36616931728524,39.10481191136243,14.800580871801815,45959.04965084908,-76.13514763067178
Louisiana,4645670,59.29484875163324,41.31373946061602,13.64119707168181,46248.25819978604,-76.02375516092171
Maine,1329923,93.73520121089717,33.843087156173695,18.215415478941246,51456.52929079353,-69.67950245286679
Maryland,5959902,52.49062820160466,38.96084197357607,13.759454433982306,78895.88525683811,-60.62333115977648
Massachusetts,6742143,73.71559754813862,38.140083946602736,15.079463606749362,72391.20803370679,-57.838194335763845
Michigan,9909600,75.71522563978364,38.78737789618149,15.4163437474772,51729.19172176476,-71.42062483770597
Minnesota,5450868,81.3151960385025,39.520769903068654,14.298731871694558,64828.628492929936,-64.73545078639962
Mississippi,2989192,57.21030967565818,41.34267721845903,14.272485675058679,41085.151999269365,-77.79834835571558
Missouri,6059651,80.04700270692157,39.418243723937245,15.346329351310821,50748.268840235185,-71.26964531747996
Montana,1023391,86.83240325545172,37.97766445083062,16.69625783302765,48641.952292916394,-68.90788688221231
Nebraska,1881259,80.33726350279252,41.555894217648934,14.431718333307625,55183.661282152,-68.77940506219814
Nevada,2839172,51.26522803127112,39.53473054820205,14.118728981548154,53275.58368460945,-75.80672726727222
New Hampshire,1327503,91.24431357217274,35.69189674147628,15.848175107702197,69517.37589896219,-63.48862663077152
New Jersey,8915456,56.694923961264585,37.82967466835123,14.719280763653586,74686.16173810964,-61.623449849621615
New Mexico,2082669,38.68127868614743,40.76168608645924,15.282601315907627,46241.300113940335,-72.66452535441202
New York,19697457,56.40989088083807,38.88726346756335,14.691241615605513,64021.3352788129,-64.53946738044198
North Carolina,9940828,63.99303961400398,39.34217552099282,14.680165475149552,49484.6332541917,-69.80345650761132
North Dakota,736162,86.37147801706689,42.79696588522634,14.228525786443747,59707.089780510265,-70.581309200083
Ohio,11586941,79.96176902946169,38.73878360129737,15.503116827815038,51449.17500581042,-72.22459300408227
Oklahoma,3875589,66.92843332974678,41.523778708217,14.498054360253365,48501.16911416561,-74.36547680693417
Oregon,3982267,77.00304876594161,37.62673371725201,15.934993811314015,54625.576106022025,-67.54231172951714
Pennsylvania,12783977,77.71291359488524,37.38583853835156,16.68688077270476,56751.761557455866,-69.61690339296088
Rhode Island,1054491,73.99570029521355,38.11658895144671,15.791220598373991,58483.27640918699,-66.6226894414525
South Carolina,4834605,63.85644742435008,39.01576240458114,15.754751422298202,47359.625660834754,-72.49259030488112
South Dakota,836795,84.23174134644688,40.88850913306127,15.333385118218937,52915.99469523599,-71.15430942633802
Tennessee,6548009,74.52141559365603,39.044143036455814,15.034325701140604,47969.44666019854,-73.41709832344647
Texas,26956435,43.42445134158133,43.92296681664322,11.487301640591568,55916.85472344544,-70.96840461407088
Utah,2948427,79.33989886810834,49.445348316237755,10.016934453523865,63068.93998393042,-67.08790608581464
Vermont,626249,93.43791367331525,35.909678099286374,16.956993144899236,56866.504055096295,-62.52542797488101
Virginia,8310301,63.11755735442073,39.345434058285015,13.7758788761081,72743.83007246067,-61.992425519087185
Washington,7073146,70.38416851567888,39.34642378370246,14.036780804468036,64487.89862276277,-65.71705086114783
West Virginia,1846092,92.41987939929321,35.62070579364407,17.773978761621848,43318.276972653584,-79.21183652420645
Wisconsin,5754798,82.14976442266088,38.60835775643213,15.208526867493866,55672.93233454936,-70.46462760472016
Wyoming,583029,84.36269893950387,40.58974767978952,13.842707652621064,59863.69681782553,-72.91256438056936
